"Title","Year","Authors","Journal","DOI","Source","Surveillance_Type","Governance","Geographic_Extent","Region","Country","Country_if_Multiple","Animal_Type","Number_Species","Species_name","Num_Indicators_Study","Num_Indicators_System","Indicators_study","Indicators_simpl","Unit_analysis","Source_of_indicators","Data_provider","Providers_if_multiple","Surveillance_system_name","Is_SyS","OneHealth","Response","System_purpose","Pilot_Proof_followup","Analysis_type","Statistical_framework","Keep"
"A real-time spatio-temporal syndromic surveillance system with application to small companion animals","2019.0","Hale A.C., Sánchez-Vizcaíno F., Rowlingson B., Radford A.D., Giorgi E., O’Brien S.J., Diggle P.J.","Scientific Reports","10.1038/s41598-019-53352-6","LitSearch","Established","Academic","National","Europe","UK","NA","Companion","2.0","dog, cat","1.0","4.0","GI symptoms","GI","Population","patient electronic health records","Private veterinarian","NA","SAVSNET (Small Animal Veterinary Surveillance Network)","Yes","No","publication on website_field investigation","rapid and actionable research and surveillance","Established","Spatio-temporal","Bayesian","No"
"A simulation study on the statistical monitoring of condemnation rates from slaughterhouses for syndromic surveillance: An evaluation based on Swiss data","2015.0","Vial F., Thommen S., Held L.","Epidemiology and Infection","10.1017/S0950268815000989","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","Switzerland","NA","Livestock","2.0","cattle, pig","1.0","NA","whole carcass condemnations","carcass condemnation","Population","post-mortem slaughterhouse inspection","Meat inspector","NA","FLEKO prospective system","NA","No","NA","early detection of emerging and re-emerging diseases in production animals","No (checked FLEKO website)","Temporal","Frequentist","No"
"Application of syndromic surveillance on routinely collected cattle reproduction and milk production data for the early detection of outbreaks of Bluetongue and Schmallenberg viruses","2016.0","Veldhuis A., Brouwer-Middelesch H., Marceau A., Madouasse A., Van der Stede Y., Fourichon C., Welby S., Wever P., van Schaik G.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2015.12.006","LitSearch","Prospective/Proof of Concept",NA,"Multi-Country","Europe","Multi-Country","Netherlands, Belgium","Livestock","1.0","cattle","4.0","NA","milk yield, milk composition,  artificial inseminations (AI), dates of calving","milk production, milk quality, reproductive","Population","milk recording and general data collected by cattle improvement company CRV","Private company (disposal services, etc)","NA","NA","NA","No","NA","early detection of emerging vector-borne diseases in cattle","No (Google search, CRV website). Data is different than CHSS","Spatio-temporal","Frequentist","Yes"
"Can routinely recorded reproductive events be used as indicators of disease emergence in dairy cattle? An evaluation of 5 indicators during the emergence of bluetongue virus in France in 2007 and 2008","2014.0","Marceau A., Madouasse A., Lehébel A., van Schaik G., Veldhuis A., Van der Stede Y., Fourichon C.","Journal of Dairy Science","10.3168/jds.2013-7346","LitSearch","Prospective/Proof of Concept",NA,"Multi-Region","Europe","France","NA","Livestock","1.0","cattle","5.0","NA","return to service (3), premature calving, short gestation","reproductive","Population","unique national database managed by Institut National de la Recherche Agronomique (INRA)","Multiple (see notes)","Farmer/Owner, Private company (disposal services, etc)","NA","NA","No","NA","early detection health anomalies","No","Spatio-temporal","Frequentist","Yes"
"Combining host and vector data informs emergence and potential impact of an Usutu virus outbreak in UK wild birds","2022.0","Lawson B., Robinson R.A., Briscoe A.G., Cunningham A.A., Fooks A.R., Heaver J.P., Hernández-Triana L.M., John S.K., Johnson N., Johnston C., Lean F.Z.X., Macgregor S.K., Masters N.J., McCracken F., McElhinney L.M., Medlock J.M., Pearce-Kelly P., Seilern-Moy K., Spiro S., Vaux A.G.C., Folly A.J.","Scientific Reports","10.1038/s41598-022-13258-2","LitSearch","Established","Nonprofit","National","Europe","UK","NA","Wildlife","multiple","wild birds","6.0","6.0","mortality; beak/plumage abnormality; generalised ill health (e.g. lethargy, fluffed-up plumage); musculoskeletal disease; nestling mortality; neurological disease; predation/trauma","mortality, skin/fur/plumage, general illness, nervous, trauma","Population","Morbidity and mortality reports for garden wildlife solicited from the public submitted online through Garden Wildlife Health project; Disease incident reports (DIRs)","Member of public","NA","Garden Wildlife Health project","Yes","No","Quarterly based on government reports","identify and monitor threats to wildlife health","Yes","Spatio-temporal","Frequentist","No"
"Development and evaluation of a new method to combine clinical impression survey data with existing laboratory data for veterinary syndromic surveillance with the Network (CWSHIN)","2021.0","Christensen J., Byra C., Keenliside J., Huang Y., Harding J.C.S., Duizer G., Detmer S.E.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2021.105444","LitSearch","Established","Trade association","Multi-Region","North America","Canada","NA","Livestock","1.0","pig","14.0","14.0","congenital, digestive, injury/welfare, locomotory, neurological, reproductive, respiratory, skin, systemic, whole carcass condemnation lesions (given as ""abattoir"" in article), clinical, laboratory diagnosis, dead/rejected at antemortem, condemnation for technical reasons","lab tests","Population","Veterinary reports and whole carcass condemnation records","Multiple (see notes)","Private Veterinarian, Meat Inspector","CWSHIN (Canada West Swine Health Intelligence Network)","Yes","No","publication_share with stakeholders_field investigations if possible","detect emerging disease, monitor endemic disease, supporting evidence for absence of disease","Established","Spatio-temporal","Frequentist","Yes"
"Development of a syndromic surveillance system for Irish dairy cattle using milk recording data","2022.0","Douglass A.P., O'Grady L., McGrath G., Tratalos J., Mee J.F., Barrett D., Sánchez-Miguel C., More S.J., Madouasse A., Green M., Madden J.M., McAloon C.G.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2022.105667","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","Ireland","NA","Livestock","1.0","cattle","8.0","NA","milk yield, fat, protein, lactose content, somatic cell count (SCC), parity, calving date, calving ease","milk quality, reproductive","Population","milk records","Farmer/Owner","NA","NA","NA","No","NA","early detection of emerging vector-borne diseases in cattle","No but development priority in Irish DAFM Animal Health Surveillance Strategy 2023-2028","Spatio-temporal","Frequentist","Yes"
"Devising an indicator to detect mid-term abortions in dairy cattle: A first step towards syndromic surveillance of abortive diseases","2015.0","Bronner A., Morignat E., Hénaux V., Madouasse A., Gay E., Calavas D.","PLoS ONE","10.1371/journal.pone.0119012","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","France","NA","Livestock","1.0","cattle","1.0","NA","mid-term abortions","reproductive","Population","Farmer reports of abortions to their veterinarian","Farmer/Owner","NA","NA","NA","No","NA","detect and measure effects of abortive disease in cattle","No","Spatio-temporal","Frequentist","Yes"
"Early detection of West Nile virus in France: Quantitative assessment of syndromic surveillance system using nervous signs in horses","2017.0","Faverjon C., Vial F., Andersson M.G., Lecollinet S., Leblond A.","Epidemiology and Infection","10.1017/S0950268816002946","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","France","NA","Livestock","1.0","horse","1.0","11.0","nervous signs","nervous","Population","declarations from sentinel veterinarians to RESPE database","Private veterinarian","NA","RESPE","Yes","No","publication on website_field investigation_inform Ministry of Agriculture","rapid detection of diseases in horses","Yes","Spatio-temporal","Frequentist","No"
"Effectiveness and Cost Efficiency of Different Surveillance Components for Proving Freedom and Early Detection of Disease: Bluetongue Serotype 8 in Cattle as Case Study for Belgium, France and the Netherlands","2017.0","Welby S., van Schaik G., Veldhuis A., Brouwer-Middelesch H., Peroz C., Santman-Berends I.M., Fourichon C., Wever P., Van der Stede Y.","Transboundary and Emerging Diseases","10.1111/tbed.12564","LitSearch","Prospective/Proof of Concept",NA,"Multi-Country","Europe","Multi-Country","Netherlands, Belgium","Livestock","1.0","cattle","3.0","NA","reproductive performance, milk production, mortality","mortality, reproductive, milk production","Herd_flock","National databases","Multiple (see notes)","Farmer/Owner, Private company (disposal services, etc)","NA","NA","No","NA","early detection of emerging / re-emerging diseases in cattle","No","Temporal","Bayesian","Yes"
